"EIV","number","n_total","n_assessed1998","n_assessed2018","threatened1998","threatened2018","not_threatened1998","not_threatened2018","not_evaluated1998","not_evaluated2018","per1998","per2018","per1998_total","per2018_total","delta","delta_total"
"L",1,2,2,2,0,0,2,2,0,0,0,0,0,0,0,0
"L",2,16,16,16,4,3,12,13,0,0,0.25,0.1875,0.25,0.1875,-0.0625,-0.0625
"L",3,55,47,54,5,7,42,47,8,1,0.106382978723404,0.12962962962963,0.0909090909090909,0.127272727272727,0.0232466509062254,0.0363636363636363
"L",4,127,120,118,15,18,105,100,7,9,0.125,0.152542372881356,0.118110236220472,0.141732283464567,0.0275423728813559,0.0236220472440945
"L",5,176,162,162,31,39,131,123,14,14,0.191358024691358,0.240740740740741,0.176136363636364,0.221590909090909,0.0493827160493827,0.0454545454545454
"L",6,377,343,334,67,78,276,256,34,43,0.19533527696793,0.233532934131737,0.177718832891247,0.206896551724138,0.0381976571638065,0.0291777188328912
"L",7,844,767,743,190,239,577,504,77,101,0.247718383311604,0.321668909825034,0.225118483412322,0.283175355450237,0.07395052651343,0.0580568720379147
"L",8,824,732,709,253,291,479,418,92,115,0.345628415300546,0.410437235543018,0.307038834951456,0.353155339805825,0.0648088202424719,0.046116504854369
"L",9,279,264,235,102,121,162,114,15,44,0.386363636363636,0.514893617021277,0.365591397849462,0.433691756272401,0.12852998065764,0.068100358422939
"T",1,35,34,35,1,2,33,33,1,0,0.0294117647058824,0.0571428571428571,0.0285714285714286,0.0571428571428571,0.0277310924369748,0.0285714285714286
"T",2,108,104,105,11,24,93,81,4,3,0.105769230769231,0.228571428571429,0.101851851851852,0.222222222222222,0.122802197802198,0.12037037037037
"T",3,126,118,124,29,33,89,91,8,2,0.245762711864407,0.266129032258065,0.23015873015873,0.261904761904762,0.0203663203936577,0.0317460317460318
"T",4,211,200,205,79,83,121,122,11,6,0.395,0.404878048780488,0.374407582938389,0.393364928909953,0.00987804878048781,0.018957345971564
"T",5,646,571,609,93,115,478,494,75,37,0.162872154115587,0.188834154351396,0.143962848297214,0.178018575851393,0.025962000235809,0.0340557275541796
"T",6,960,866,830,211,251,655,579,94,130,0.24364896073903,0.302409638554217,0.219791666666667,0.261458333333333,0.0587606778151868,0.0416666666666667
"T",7,478,440,364,189,227,251,137,38,114,0.429545454545455,0.623626373626374,0.395397489539749,0.47489539748954,0.194080919080919,0.0794979079497908
"T",8,105,91,75,50,56,41,19,14,30,0.549450549450549,0.746666666666667,0.476190476190476,0.533333333333333,0.197216117216117,0.0571428571428572
"T",9,7,6,3,3,3,3,0,1,4,0.5,1,0.428571428571429,0.428571428571429,0.5,0
"C",1,28,27,25,19,18,8,7,1,3,0.703703703703704,0.72,0.678571428571429,0.642857142857143,0.0162962962962963,-0.0357142857142857
"C",2,175,171,169,59,63,112,106,4,6,0.345029239766082,0.372781065088757,0.337142857142857,0.36,0.0277518253226756,0.0228571428571429
"C",3,249,239,221,54,56,185,165,10,28,0.225941422594142,0.253393665158371,0.216867469879518,0.224899598393574,0.0274522425642288,0.00803212851405621
"C",4,353,341,334,87,106,254,228,12,19,0.255131964809384,0.317365269461078,0.246458923512748,0.30028328611898,0.0622333046516937,0.0538243626062323
"C",5,183,176,173,56,65,120,108,7,10,0.318181818181818,0.375722543352601,0.306010928961749,0.355191256830601,0.057540725170783,0.0491803278688525
"C",6,95,93,75,46,51,47,24,2,20,0.494623655913978,0.68,0.484210526315789,0.536842105263158,0.185376344086022,0.0526315789473684
"C",7,88,86,81,42,46,44,35,2,7,0.488372093023256,0.567901234567901,0.477272727272727,0.522727272727273,0.0795291415446454,0.0454545454545454
"C",8,22,21,17,13,15,8,2,1,5,0.619047619047619,0.882352941176471,0.590909090909091,0.681818181818182,0.263305322128851,0.0909090909090908
"M",1,42,40,41,23,23,17,18,2,1,0.575,0.560975609756098,0.547619047619048,0.547619047619048,-0.0140243902439023,0
"M",2,120,110,113,58,67,52,46,10,7,0.527272727272727,0.592920353982301,0.483333333333333,0.558333333333333,0.0656476267095737,0.075
"M",3,319,297,266,101,119,196,147,22,53,0.34006734006734,0.447368421052632,0.316614420062696,0.373040752351097,0.107301080985292,0.0564263322884013
"M",4,584,518,478,123,174,395,304,66,106,0.237451737451737,0.364016736401674,0.210616438356164,0.297945205479452,0.126564998949936,0.0873287671232877
"M",5,671,597,595,78,123,519,472,74,76,0.130653266331658,0.20672268907563,0.116244411326379,0.183308494783905,0.0760694227439719,0.0670640834575261
"M",6,299,273,265,40,44,233,221,26,34,0.146520146520147,0.166037735849057,0.133779264214047,0.147157190635452,0.0195175893289101,0.0133779264214047
"M",7,204,191,190,60,67,131,123,13,14,0.31413612565445,0.352631578947368,0.294117647058824,0.32843137254902,0.0384954532929181,0.0343137254901961
"M",8,200,186,182,69,69,117,113,14,18,0.370967741935484,0.379120879120879,0.345,0.345,0.00815313718539523,0
"M",9,172,162,162,80,78,82,84,10,10,0.493827160493827,0.481481481481481,0.465116279069767,0.453488372093023,-0.0123456790123457,-0.0116279069767442
"M",10,29,23,26,3,2,20,24,6,3,0.130434782608696,0.0769230769230769,0.103448275862069,0.0689655172413793,-0.0535117056856187,-0.0344827586206897
"M",11,26,26,23,14,13,12,10,0,3,0.538461538461538,0.565217391304348,0.538461538461538,0.5,0.0267558528428093,-0.0384615384615384
"M",12,40,36,38,22,21,14,17,4,2,0.611111111111111,0.552631578947368,0.55,0.525,-0.0584795321637427,-0.025
"R",1,25,25,23,12,10,13,13,0,2,0.48,0.434782608695652,0.48,0.4,-0.0452173913043478,-0.08
"R",2,88,82,85,38,42,44,43,6,3,0.463414634146341,0.494117647058824,0.431818181818182,0.477272727272727,0.0307030129124821,0.0454545454545455
"R",3,132,122,128,43,47,79,81,10,4,0.352459016393443,0.3671875,0.325757575757576,0.356060606060606,0.0147284836065574,0.0303030303030303
"R",4,199,184,185,56,69,128,116,15,14,0.304347826086957,0.372972972972973,0.281407035175879,0.346733668341709,0.0686251468860165,0.0653266331658292
"R",5,243,217,226,52,53,165,173,26,17,0.23963133640553,0.234513274336283,0.213991769547325,0.218106995884774,-0.00511806206924675,0.00411522633744857
"R",6,472,414,405,66,89,348,316,58,67,0.159420289855072,0.219753086419753,0.139830508474576,0.188559322033898,0.0603327965646806,0.048728813559322
"R",7,861,763,702,157,204,606,498,98,159,0.205766710353866,0.290598290598291,0.182346109175377,0.236933797909408,0.0848315802444243,0.0545876887340302
"R",8,653,620,594,230,268,390,326,33,59,0.370967741935484,0.451178451178451,0.352220520673813,0.4104134762634,0.0802107092429673,0.0581929555895865
"R",9,29,28,27,16,18,12,9,1,2,0.571428571428571,0.666666666666667,0.551724137931034,0.620689655172414,0.0952380952380952,0.0689655172413793
"N",1,118,112,111,57,63,55,48,6,7,0.508928571428571,0.567567567567568,0.483050847457627,0.533898305084746,0.0586389961389961,0.0508474576271187
"N",2,448,418,437,211,242,207,195,30,11,0.504784688995215,0.553775743707094,0.470982142857143,0.540178571428571,0.0489910547118785,0.0691964285714285
"N",3,447,417,412,147,172,270,240,30,35,0.352517985611511,0.41747572815534,0.328859060402685,0.384787472035794,0.064957742543829,0.0559284116331096
"N",4,383,355,352,93,116,262,236,28,31,0.261971830985915,0.329545454545455,0.242819843342037,0.302872062663185,0.0675736235595391,0.0600522193211488
"N",5,372,322,316,58,80,264,236,50,56,0.180124223602484,0.253164556962025,0.155913978494624,0.21505376344086,0.0730403333595409,0.0591397849462366
"N",6,403,352,318,48,59,304,259,51,85,0.136363636363636,0.185534591194969,0.119106699751861,0.146401985111663,0.0491709548313322,0.0272952853598015
"N",7,320,287,248,27,30,260,218,33,72,0.0940766550522648,0.120967741935484,0.084375,0.09375,0.0268910868832191,0.00937499999999999
"N",8,160,146,131,13,16,133,115,14,29,0.089041095890411,0.122137404580153,0.08125,0.1,0.0330963086897417,0.01875
"N",9,26,25,26,5,8,20,18,1,0,0.2,0.307692307692308,0.192307692307692,0.307692307692308,0.107692307692308,0.115384615384615
